Problem,Exact GS,Optimizer,Trials,Best mean,Best std,Best SEM,Final mean,Final std,NEFV,Depth
Heisenberg N=8,-13.499730,AdamW,5,-10.932516,0.914790,0.409106,-10.932516,0.914790,1280,0
Heisenberg N=8,-13.499730,SPSA,5,-8.797618,1.085791,0.485580,-8.795550,1.086427,200,0
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),1,-1.399460,0.000000,0.000000,-1.397418,0.000000,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),1,-1.275891,0.000000,0.000000,-1.275891,0.000000,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),1,-1.415363,0.000000,0.000000,-1.402840,0.000000,720,419
Frustrated Ising N=4,-1.549051,QAOA,1,-0.510399,0.000000,0.000000,-0.510399,0.000000,400,7
Frustrated Ising N=4,-1.549051,Correct QNG,1,-0.956942,0.000000,0.000000,-0.956942,0.000000,720,0
Frustrated Ising N=4,-1.549051,AdamW,1,-1.381934,0.000000,0.000000,-1.368270,0.000000,640,0
Frustrated Ising N=4,-1.549051,SPSA,1,-0.878329,0.000000,0.000000,-0.868598,0.000000,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),1,0.009782,0.000000,0.000000,0.009782,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),1,0.082777,0.000000,0.000000,0.082777,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),1,0.062286,0.000000,0.000000,0.176162,0.000000,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA,1,0.929519,0.000000,0.000000,0.962651,0.000000,400,7
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,1,0.636613,0.000000,0.000000,0.636613,0.000000,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,1,0.111582,0.000000,0.000000,0.111582,0.000000,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,1,0.951023,0.000000,0.000000,0.958016,0.000000,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),1,0.013091,0.000000,0.000000,0.018751,0.000000,180,490
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (Hadamard),1,0.369062,0.000000,0.000000,0.369062,0.000000,180,224
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),1,0.008752,0.000000,0.000000,0.032729,0.000000,880,626
MaxCut N=6 (Opt=12.0),-0.000000,QAOA,1,0.634954,0.000000,0.000000,0.634954,0.000000,400,7
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,1,0.050023,0.000000,0.000000,0.050023,0.000000,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,1,1.593677,0.000000,0.000000,1.593677,0.000000,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,1,4.193107,0.000000,0.000000,4.193107,0.000000,200,0
H2 Molecule,-1.857275,QLTO V3 QPE (k=4),1,-1.827434,0.000000,0.000000,-1.827434,0.000000,180,162
H2 Molecule,-1.857275,QLTO V3 (Hadamard),1,-1.833532,0.000000,0.000000,-1.823122,0.000000,180,77
H2 Molecule,-1.857275,QLTO V2 (engine-grad),1,-1.859051,0.000000,0.000000,-1.768229,0.000000,440,212
H2 Molecule,-1.857275,Correct QNG,1,-1.792751,0.000000,0.000000,-1.792751,0.000000,400,0
H2 Molecule,-1.857275,AdamW,1,-1.854479,0.000000,0.000000,-1.837670,0.000000,320,0
H2 Molecule,-1.857275,SPSA,1,-1.770380,0.000000,0.000000,-1.745217,0.000000,200,0
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),1,-1.405067,0.000000,0.000000,-1.405067,0.000000,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),1,-1.264609,0.000000,0.000000,-1.248744,0.000000,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),1,-1.411890,0.000000,0.000000,-1.404586,0.000000,720,419
Frustrated Ising N=4,-1.549051,QAOA,1,-0.982428,0.000000,0.000000,-0.966971,0.000000,400,43
Frustrated Ising N=4,-1.549051,Correct QNG,1,-0.960168,0.000000,0.000000,-0.951153,0.000000,720,0
Frustrated Ising N=4,-1.549051,AdamW,1,-1.378018,0.000000,0.000000,-1.377021,0.000000,640,0
Frustrated Ising N=4,-1.549051,SPSA,1,-0.891180,0.000000,0.000000,-0.880775,0.000000,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),1,0.031659,0.000000,0.000000,0.081443,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),1,0.097168,0.000000,0.000000,0.134238,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),1,0.001288,0.000000,0.000000,0.004527,0.000000,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA,1,0.610023,0.000000,0.000000,0.652082,0.000000,400,22
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,1,0.634360,0.000000,0.000000,0.634360,0.000000,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,1,0.105676,0.000000,0.000000,0.105676,0.000000,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,1,0.964670,0.000000,0.000000,0.965857,0.000000,200,0
Frustrated Ising N=4,-1.549051,QLTO V3 QPE (k=4),1,-1.411175,0.000000,0.000000,-1.408823,0.000000,180,286
Frustrated Ising N=4,-1.549051,QLTO V3 (Hadamard),1,-1.355895,0.000000,0.000000,-1.339756,0.000000,180,149
Frustrated Ising N=4,-1.549051,QLTO V2 (engine-grad),1,-1.400510,0.000000,0.000000,-1.390367,0.000000,720,419
Frustrated Ising N=4,-1.549051,QAOA,1,-0.991063,0.000000,0.000000,-0.972544,0.000000,400,43
Frustrated Ising N=4,-1.549051,Correct QNG,1,-0.984440,0.000000,0.000000,-0.984440,0.000000,720,0
Frustrated Ising N=4,-1.549051,AdamW,1,-1.370885,0.000000,0.000000,-1.370885,0.000000,640,0
Frustrated Ising N=4,-1.549051,SPSA,1,-0.882203,0.000000,0.000000,-0.859030,0.000000,200,0
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 QPE (k=4),1,0.019228,0.000000,0.000000,0.035165,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V3 (Hadamard),1,0.041583,0.000000,0.000000,0.058358,0.000000,180,136
MaxCut N=4 (Opt=4.0),-0.000000,QLTO V2 (engine-grad),1,0.056859,0.000000,0.000000,0.196722,0.000000,640,389
MaxCut N=4 (Opt=4.0),-0.000000,QAOA,1,0.636931,0.000000,0.000000,0.647349,0.000000,400,22
MaxCut N=4 (Opt=4.0),-0.000000,Correct QNG,1,0.639291,0.000000,0.000000,0.639291,0.000000,720,0
MaxCut N=4 (Opt=4.0),-0.000000,AdamW,1,0.123973,0.000000,0.000000,0.123973,0.000000,640,0
MaxCut N=4 (Opt=4.0),-0.000000,SPSA,1,0.944725,0.000000,0.000000,0.949340,0.000000,200,0
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 QPE (k=4),1,0.020551,0.000000,0.000000,0.020551,0.000000,180,490
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V3 (Hadamard),1,0.146744,0.000000,0.000000,0.281461,0.000000,180,224
MaxCut N=6 (Opt=12.0),-0.000000,QLTO V2 (engine-grad),1,-0.001691,0.000000,0.000000,0.032504,0.000000,880,626
MaxCut N=6 (Opt=12.0),-0.000000,QAOA,1,6.741361,0.000000,0.000000,6.762016,0.000000,400,67
MaxCut N=6 (Opt=12.0),-0.000000,Correct QNG,1,0.041256,0.000000,0.000000,0.041256,0.000000,1040,0
MaxCut N=6 (Opt=12.0),-0.000000,AdamW,1,1.483835,0.000000,0.000000,1.483835,0.000000,960,0
MaxCut N=6 (Opt=12.0),-0.000000,SPSA,1,4.090846,0.000000,0.000000,4.090846,0.000000,200,0
