problem_name,N,M,trial,status,success,subset,total_time,reason
uf20-01,20,91,1,ok,True,"[2, 3]",0.9461417198181152,
uf20-01,20,91,2,ok,True,"[0, 2]",1.0467033386230469,
uf20-01,20,91,3,ok,True,"[1, 2]",0.8069744110107422,
aim-50-yes,50,80,1,ok,True,"[1, 0, 3, 2, 4, 5]",0.8571615219116211,
aim-50-yes,50,80,2,ok,True,"[0, 2, 3]",0.8536996841430664,
aim-50-yes,50,80,3,ok,True,"[0, 2, 3]",0.8681766986846924,
uf100-01,100,417,1,ok,False,[3],12.347537279129028,
uf100-01,100,417,2,ok,False,[3],12.41507601737976,
uf100-01,100,417,3,ok,False,"[0, 1]",17.40905785560608,
